Time,Type,DevAddr,DevEUI,FCnt,RJcount1,Invalid
'2021-09-05 13:02:08.28','Downlink Msg (UC)','260b1ae2',,'0025',,
'2021-09-05 13:03:03.23','Uplink Msg (C)','260b1ae2',,'0024',,
'2021-09-05 13:03:04.94','Downlink Msg (UC)','00000024',,'000f',,
'2021-09-05 13:03:08.28','Downlink Msg (UC)','260b1ae2',,'0026',,
'2021-09-05 13:03:29.12','Downlink Msg (UC)','00000018',,'001e',,
'2021-09-05 13:04:03.23','Uplink Msg (C)','260b1ae2',,'0025',,
'2021-09-05 13:04:03.24','Uplink Msg (C)','260b1ae2',,'0025',,
'2021-09-05 13:04:08.28','Downlink Msg (UC)','260b1ae2',,'0027',,
'2021-09-05 13:04:19.18','Rejoin-Request',,'',,: '','Corrupted! Invalid ReJoinType value.'
'2021-09-05 13:04:49.86','Downlink Msg (UC)','00000028',,'0010',,
'2021-09-05 13:05:11.12','Downlink Msg (UC)','00000018',,'0020',,
'2021-09-05 13:05:21.79','Join-Request',,'ed3f000000da7f64',,,
'2021-09-05 13:05:28.60','Join-Accept','b71b373c',,,,
'2021-09-05 13:05:43.87','Uplink Msg (UC)','260b39cc',,'0000',,
'2021-09-05 13:05:43.87','Uplink Msg (UC)','260b39cc',,'0000',,
'2021-09-05 13:05:48.58','Join-Request',,'75c600000aca2500',,,
'2021-09-05 13:05:50.35','Downlink Msg (C)','260b39cc',,'0001',,
'2021-09-05 13:05:53.66','Join-Accept','4f37cf61',,,,
'2021-09-05 13:05:56.43','Uplink Msg (C)','260b5ae3',,'0000',,
'2021-09-05 13:05:56.44','Uplink Msg (C)','260b5ae3',,'0000',,
'2021-09-05 13:06:01.48','Downlink Msg (UC)','260b5ae3',,'0000',,
'2021-09-05 13:06:56.69','Uplink Msg (C)','260b5ae3',,'0001',,
'2021-09-05 13:07:01.74','Downlink Msg (UC)','260b5ae3',,'0001',,
'2021-09-05 13:07:04.70','Uplink Msg (C)','260b5ae3',,'0001',,
'2021-09-05 13:07:04.70','Uplink Msg (C)','260b5ae3',,'0001',,
'2021-09-05 13:07:09.74','Downlink Msg (UC)','260b5ae3',,'0002',,
'2021-09-05 13:07:56.68','Uplink Msg (C)','260b5ae3',,'0002',,
'2021-09-05 13:08:01.73','Downlink Msg (UC)','260b5ae3',,'0003',,
'2021-09-05 13:09:00.51','Uplink Msg (C)','260b5ae3',,'0003',,
'2021-09-05 13:09:00.52','Uplink Msg (C)','260b5ae3',,'0003',,
'2021-09-05 13:09:05.57','Downlink Msg (UC)','260b5ae3',,'0004',,
'2021-09-05 13:10:00.52','Uplink Msg (C)','260b5ae3',,'0004',,
'2021-09-05 13:10:05.55','Downlink Msg (UC)','260b5ae3',,'0005',,
'2021-09-05 13:11:00.51','Uplink Msg (C)','260b5ae3',,'0005',,
'2021-09-05 13:11:00.51','Uplink Msg (C)','260b5ae3',,'0005',,
'2021-09-05 13:11:05.56','Downlink Msg (UC)','260b5ae3',,'0006',,
'2021-09-05 13:11:53.30','Join-Request',,'75c600000aca2500',,,
'2021-09-05 13:11:58.37','Join-Accept','a3b3065e',,,,
'2021-09-05 13:12:01.24','Uplink Msg (C)','260bd0f7',,'0000',,
'2021-09-05 13:12:01.24','Uplink Msg (C)','260bd0f7',,'0000',,
'2021-09-05 13:12:06.28','Downlink Msg (UC)','260bd0f7',,'0000',,
'2021-09-05 13:12:32.68','Join-Request',,'75c600000aca2500',,,
'2021-09-05 13:12:37.75','Join-Accept','525aa371',,,,
'2021-09-05 13:12:40.43','Uplink Msg (C)','260b1763',,'0000',,
'2021-09-05 13:12:40.44','Uplink Msg (C)','260b1763',,'0000',,
'2021-09-05 13:12:42.03','Join-Request',,'d63ab4c8da947dc6',,,'Corrupted! Invalid packet size.'
'2021-09-05 13:12:45.48','Downlink Msg (UC)','260b1763',,'0000',,
'2021-09-05 13:12:51.67','Downlink Msg (C)','db52c722',,'aa9c',,
'2021-09-05 13:13:13.14','Join-Request',,'75c600000aca2500',,,
'2021-09-05 13:13:18.22','Join-Accept','47b41875',,,,
'2021-09-05 13:13:20.28','Uplink Msg (C)','260bc3cc',,'0000',,
'2021-09-05 13:13:25.32','Downlink Msg (UC)','260bc3cc',,'0000',,
'2021-09-05 13:13:53.91','Join-Request',,'ed3f000000da7f64',,,
'2021-09-05 13:14:00.71','Join-Accept','efa23147',,,,
'2021-09-05 13:14:16.21','Uplink Msg (UC)','260b334e',,'0000',,
'2021-09-05 13:14:16.22','Uplink Msg (UC)','260b334e',,'0000',,
'2021-09-05 13:14:22.70','Downlink Msg (C)','260b334e',,'0001',,
'2021-09-05 13:14:54.30','Downlink Msg (C)','adbaa8ec',,'c167',,
'2021-09-05 13:15:31.96','Join-Request',,'ed3f000000da7f64',,,
'2021-09-05 13:15:35.29','Join-Request',,'75c600000aca2500',,,
'2021-09-05 13:15:38.77','Join-Accept','3d5807b9',,,,
'2021-09-05 13:15:40.37','Join-Accept','fd9ce318',,,,
'2021-09-05 13:15:43.17','Uplink Msg (C)','260bb3ac',,'0000',,
'2021-09-05 13:15:48.20','Downlink Msg (UC)','260bb3ac',,'0000',,
'2021-09-05 13:15:54.28','Uplink Msg (UC)','260b6778',,'0000',,
'2021-09-05 13:15:54.28','Uplink Msg (UC)','260b6778',,'0000',,
'2021-09-05 13:16:00.76','Downlink Msg (C)','260b6778',,'0001',,
'2021-09-05 13:16:43.41','Uplink Msg (C)','260bb3ac',,'0001',,
'2021-09-05 13:16:43.41','Uplink Msg (C)','260bb3ac',,'0001',,
'2021-09-05 13:16:48.48','Downlink Msg (UC)','260bb3ac',,'0001',,
'2021-09-05 13:17:12.82','Uplink Msg (C)','b057cb9a',,'d12e',,
'2021-09-05 13:17:43.40','Uplink Msg (C)','260bb3ac',,'0002',,
'2021-09-05 13:17:48.45','Downlink Msg (UC)','260bb3ac',,'0002',,
'2021-09-05 13:18:39.32','Join-Request',,'fd06d2fcee3b578a',,,'Corrupted! Invalid packet size.'
'2021-09-05 13:18:43.40','Uplink Msg (C)','260bb3ac',,'0003',,
'2021-09-05 13:18:48.44','Downlink Msg (UC)','260bb3ac',,'0003',,
