Time,Type,DevAddr,DevEUI,FCnt,RJcount1,Invalid
'2021-09-05 11:48:44.36','Downlink Msg (UC)','260b905b',,'0000',,
'2021-09-05 11:49:39.57','Uplink Msg (C)','260b905b',,'0001',,
'2021-09-05 11:49:39.58','Uplink Msg (C)','260b905b',,'0001',,
'2021-09-05 11:49:44.62','Downlink Msg (UC)','260b905b',,'0001',,
'2021-09-05 11:50:39.56','Uplink Msg (C)','260b905b',,'0002',,
'2021-09-05 11:50:39.57','Uplink Msg (C)','260b905b',,'0002',,
'2021-09-05 11:50:44.61','Downlink Msg (UC)','260b905b',,'0002',,
'2021-09-05 11:51:39.56','Uplink Msg (C)','260b905b',,'0003',,
'2021-09-05 11:51:44.60','Downlink Msg (UC)','260b905b',,'0003',,
'2021-09-05 11:52:07.94','Join-Request',,'ed3f000000da7f64',,,
'2021-09-05 11:52:14.74','Join-Accept','338b40a8',,,,
'2021-09-05 11:52:30.26','Uplink Msg (UC)','260b8d7e',,'0000',,
'2021-09-05 11:52:30.27','Uplink Msg (UC)','260b8d7e',,'0000',,
'2021-09-05 11:52:37.24','Downlink Msg (UC)','260b8d7e',,'0001',,
'2021-09-05 11:52:39.55','Uplink Msg (C)','260b905b',,'0004',,
'2021-09-05 11:52:44.60','Downlink Msg (UC)','260b905b',,'0004',,
'2021-09-05 11:53:20.95','Proprietary',,,,,
'2021-09-05 11:53:39.55','Uplink Msg (C)','260b905b',,'0005',,
'2021-09-05 11:53:39.56','Uplink Msg (C)','260b905b',,'0005',,
'2021-09-05 11:53:44.59','Downlink Msg (UC)','260b905b',,'0005',,
'2021-09-05 11:53:45.68','Join-Request',,'ed3f000000da7f64',,,
'2021-09-05 11:53:52.49','Join-Accept','4be9bfea',,,,
'2021-09-05 11:53:54.70','Downlink Msg (C)','9236c4a6',,'9528',,
'2021-09-05 11:54:07.88','Uplink Msg (UC)','260b0981',,'0000',,
'2021-09-05 11:54:07.90','Uplink Msg (UC)','260b0981',,'0000',,
'2021-09-05 11:54:14.36','Downlink Msg (C)','260b0981',,'0001',,
'2021-09-05 11:54:25.47','Proprietary',,,,,
'2021-09-05 11:54:39.54','Uplink Msg (C)','260b905b',,'0006',,
'2021-09-05 11:54:44.59','Downlink Msg (UC)','260b905b',,'0006',,
'2021-09-05 11:55:20.12','Join-Request',,'ed3f000000da7f64',,,
'2021-09-05 11:55:26.93','Join-Accept','292f8d54',,,,
'2021-09-05 11:55:39.55','Uplink Msg (C)','260b905b',,'0007',,
'2021-09-05 11:55:42.44','Uplink Msg (UC)','260b10af',,'0000',,
'2021-09-05 11:55:42.44','Uplink Msg (UC)','260b10af',,'0000',,
'2021-09-05 11:55:44.58','Downlink Msg (UC)','260b905b',,'0007',,
'2021-09-05 11:55:48.93','Downlink Msg (C)','269b19af',,'2008',,'Corrupted! Invalid packet size (Wrong FOpts len)'
'2021-09-05 11:56:39.54','Uplink Msg (C)','260b905b',,'0008',,
'2021-09-05 11:56:44.58','Downlink Msg (UC)','260b905b',,'0008',,
'2021-09-05 11:57:39.54','Uplink Msg (C)','260b905b',,'0009',,
'2021-09-05 11:57:39.55','Uplink Msg (C)','260b905b',,'0009',,
'2021-09-05 11:57:44.58','Downlink Msg (UC)','260b905b',,'0009',,
'2021-09-05 11:58:39.53','Uplink Msg (C)','260b905b',,'000a',,
'2021-09-05 11:58:44.57','Downlink Msg (UC)','260b905b',,'000a',,
'2021-09-05 11:58:46.90','Uplink Msg (C)','d3a96f19',,'9852',,
'2021-09-05 11:59:39.53','Uplink Msg (C)','260b905b',,'000b',,
'2021-09-05 11:59:44.56','Downlink Msg (UC)','260b905b',,'000b',,
'2021-09-05 12:00:39.53','Uplink Msg (C)','260b905b',,'000c',,
'2021-09-05 12:00:42.25','Proprietary',,,,,
'2021-09-05 12:00:44.56','Downlink Msg (UC)','260b905b',,'000c',,
'2021-09-05 12:01:39.51','Uplink Msg (C)','260b905b',,'000d',,
'2021-09-05 12:01:39.52','Uplink Msg (C)','260b905b',,'000d',,
'2021-09-05 12:01:44.56','Downlink Msg (UC)','260b905b',,'000d',,
'2021-09-05 12:02:39.51','Uplink Msg (C)','260b905b',,'000e',,
'2021-09-05 12:02:44.56','Downlink Msg (UC)','260b905b',,'000e',,
'2021-09-05 12:02:47.48','Downlink Msg (C)','4550353f',,'f717',,'Corrupted! Invalid packet size (Wrong FOpts len)'
'2021-09-05 12:03:13.26','Join-Request',,'75c600000aca2500',,,
