id,packet_parsed
11,"{'MTypeText': 'Downlink Msg (UC)', 'PHYPayload': {'MHDR': {'MType': '011', 'RFU': '000', 'Major': '00'}, 'MIC': '8f0e82a9', 'MACPayload': {'FHDR': {'DevAddr': '260be271', 'FCnt': '0000', 'FOpts': '060350ff0001', 'FCtrl': {'ADR': '1', 'RFU': '0', 'ACK': '0', 'FPending': '0', 'FOptsLen': '0110'}}, 'FPort': '', 'FRMPayload': ''}}, 'ParseMessage': '', 'Lora': {'Freq': '867.3', 'Chan': '4', 'Datr': 'SF12BW125', 'Codr': '4/5'}, 'RAWPacket': '6071e20b26860000060350ff00018f0e82a9', 'Time': '2021-09-05 11:35:46.59', 'DecryptedData': ''}"
12,"{'MTypeText': 'Uplink Msg (C)', 'PHYPayload': {'MHDR': {'MType': '100', 'RFU': '000', 'Major': '00'}, 'MIC': '8209ce51', 'MACPayload': {'FHDR': {'DevAddr': '260b0523', 'FCnt': '0001', 'FOpts': '06961f', 'FCtrl': {'ADR': '1', 'ADRACKReq': '0', 'ACK': '0', 'ClassB': '0', 'FOptsLen': '0011'}}, 'FPort': '01', 'FRMPayload': '4697ac43eba8824f01c522'}}, 'ParseMessage': '', 'Lora': {'Freq': '868.5', 'Chan': '2', 'Datr': 'SF7BW125', 'Codr': '4/5'}, 'RAWPacket': '8023050b2683010006961f014697ac43eba8824f01c5228209ce51', 'Time': '2021-09-05 11:36:04.51', 'DecryptedData': ''}"
13,"{'MTypeText': 'Downlink Msg (UC)', 'PHYPayload': {'MHDR': {'MType': '011', 'RFU': '000', 'Major': '00'}, 'MIC': '315bc912', 'MACPayload': {'FHDR': {'DevAddr': '260b0523', 'FCnt': '0001', 'FOpts': '', 'FCtrl': {'ADR': '1', 'RFU': '0', 'ACK': '1', 'FPending': '0', 'FOptsLen': '0000'}}, 'FPort': '', 'FRMPayload': ''}}, 'ParseMessage': '', 'Lora': {'Freq': '868.5', 'Chan': '2', 'Datr': 'SF7BW125', 'Codr': '4/5'}, 'RAWPacket': '6023050b26a00100315bc912', 'Time': '2021-09-05 11:36:09.55', 'DecryptedData': ''}"
14,"{'MTypeText': 'Uplink Msg (C)', 'PHYPayload': {'MHDR': {'MType': '100', 'RFU': '000', 'Major': '00'}, 'MIC': '310177d8', 'MACPayload': {'FHDR': {'DevAddr': '260b0523', 'FCnt': '0002', 'FOpts': '', 'FCtrl': {'ADR': '1', 'ADRACKReq': '0', 'ACK': '0', 'ClassB': '0', 'FOptsLen': '0000'}}, 'FPort': '01', 'FRMPayload': 'cf1c0d086756c5a4419958'}}, 'ParseMessage': '', 'Lora': {'Freq': '868.1', 'Chan': '0', 'Datr': 'SF7BW125', 'Codr': '4/5'}, 'RAWPacket': '8023050b2680020001cf1c0d086756c5a4419958310177d8', 'Time': '2021-09-05 11:37:04.51', 'DecryptedData': ''}"
15,"{'MTypeText': 'Downlink Msg (UC)', 'PHYPayload': {'MHDR': {'MType': '011', 'RFU': '000', 'Major': '00'}, 'MIC': '18ffbcb4', 'MACPayload': {'FHDR': {'DevAddr': '260b0523', 'FCnt': '0002', 'FOpts': '', 'FCtrl': {'ADR': '1', 'RFU': '0', 'ACK': '1', 'FPending': '0', 'FOptsLen': '0000'}}, 'FPort': '', 'FRMPayload': ''}}, 'ParseMessage': '', 'Lora': {'Freq': '868.1', 'Chan': '0', 'Datr': 'SF7BW125', 'Codr': '4/5'}, 'RAWPacket': '6023050b26a0020018ffbcb4', 'Time': '2021-09-05 11:37:09.54', 'DecryptedData': ''}"
16,"{'MTypeText': 'Uplink Msg (C)', 'PHYPayload': {'MHDR': {'MType': '100', 'RFU': '110', 'Major': '01'}, 'MIC': '8e06aaa5', 'MACPayload': {'FHDR': {'DevAddr': 'e96adc6f', 'FCnt': '4c47', 'FOpts': 'be1eafacc734b38ee00222a8', 'FCtrl': {'ADR': '0', 'ADRACKReq': '0', 'ACK': '1', 'ClassB': '0', 'FOptsLen': '1100'}}, 'FPort': '00', 'FRMPayload': 'd999c6a47a0ec18d356712236e7bb8daf80da83004a624ba3994420447cb'}}, 'ParseMessage': '', 'Lora': {'Freq': '868.1', 'Chan': '0', 'Datr': 'SF7BW125', 'Codr': 'OFF'}, 'RAWPacket': '996fdc6ae92c474cbe1eafacc734b38ee00222a800d999c6a47a0ec18d356712236e7bb8daf80da83004a624ba3994420447cb8e06aaa5', 'Time': '2021-09-05 11:37:53.19', 'DecryptedData': ''}"
17,"{'MTypeText': 'Uplink Msg (C)', 'PHYPayload': {'MHDR': {'MType': '100', 'RFU': '000', 'Major': '00'}, 'MIC': 'bd4b2a8c', 'MACPayload': {'FHDR': {'DevAddr': '260b0523', 'FCnt': '0003', 'FOpts': '', 'FCtrl': {'ADR': '1', 'ADRACKReq': '0', 'ACK': '0', 'ClassB': '0', 'FOptsLen': '0000'}}, 'FPort': '01', 'FRMPayload': '46fcbd8bd358c81055724b'}}, 'ParseMessage': '', 'Lora': {'Freq': '867.7', 'Chan': '6', 'Datr': 'SF7BW125', 'Codr': '4/5'}, 'RAWPacket': '8023050b268003000146fcbd8bd358c81055724bbd4b2a8c', 'Time': '2021-09-05 11:38:04.50', 'DecryptedData': ''}"
18,"{'MTypeText': 'Uplink Msg (C)', 'PHYPayload': {'MHDR': {'MType': '100', 'RFU': '000', 'Major': '00'}, 'MIC': 'bd4b2a8c', 'MACPayload': {'FHDR': {'DevAddr': '260b0523', 'FCnt': '0003', 'FOpts': '', 'FCtrl': {'ADR': '1', 'ADRACKReq': '0', 'ACK': '0', 'ClassB': '0', 'FOptsLen': '0000'}}, 'FPort': '01', 'FRMPayload': '46fcbd8bd358c81055724b'}}, 'ParseMessage': '', 'Lora': {'Freq': '867.3', 'Chan': '4', 'Datr': 'SF7BW125', 'Codr': '4/5'}, 'RAWPacket': '8023050b268003000146fcbd8bd358c81055724bbd4b2a8c', 'Time': '2021-09-05 11:38:04.50', 'DecryptedData': ''}"
19,"{'MTypeText': 'Downlink Msg (UC)', 'PHYPayload': {'MHDR': {'MType': '011', 'RFU': '000', 'Major': '00'}, 'MIC': '9e4a4963', 'MACPayload': {'FHDR': {'DevAddr': '260b0523', 'FCnt': '0003', 'FOpts': '', 'FCtrl': {'ADR': '1', 'RFU': '0', 'ACK': '1', 'FPending': '0', 'FOptsLen': '0000'}}, 'FPort': '', 'FRMPayload': ''}}, 'ParseMessage': '', 'Lora': {'Freq': '867.7', 'Chan': '6', 'Datr': 'SF7BW125', 'Codr': '4/5'}, 'RAWPacket': '6023050b26a003009e4a4963', 'Time': '2021-09-05 11:38:09.54', 'DecryptedData': ''}"
20,"{'MTypeText': 'Rejoin-Request', 'PHYPayload': {'MHDR': {'MType': '110', 'RFU': '110', 'Major': '00'}, 'MIC': '13f666bd', 'ReJoinRequest': {'ReJoinType': 'b0', 'JoinEUI': '', 'DevEUI': '', 'RJcount1': ''}}, 'ParseMessage': 'Corrupted! Invalid ReJoinType value.', 'Lora': {'Freq': '867.7', 'Chan': '6', 'Datr': 'SF7BW125', 'Codr': 'OFF'}, 'RAWPacket': 'd8b0aef2fafd1d868f72aed27ebc7d56d99d28b261e2cd6656353cc6abf1d139daf0d31907b7d268d7d4bb2a5888bec143636d62a8868cb0bad35efa82be457d0684839bcc630bf713f666bd', 'Time': '2021-09-05 11:38:33.22', 'DecryptedData': ''}"
